song:dr_john_right_place_wrong_time	in_key_root	key:Eb
song:natural_food_siren_song	performed_by	artist:natural_food
song:horace_silver_soul_searchin	has_mode	mode:minor
song:roy_ayers_ubiquity_people_the_world	has_genre	genre:jazz
album:love_unlimited_orchestra_music_maestro_please	album_artist	artist:love_unlimited_orchestra
song:natural_gas_live_and_learn	has_genre	genre:rock
song:the_temptation_the_end_of_our_road	performed_by	artist:the_temptation
song:dennis_coffey_whole_lot_of_love	performed_by	artist:dennis_coffey
song:the_soulful_strings_hey_western_union_man	has_tempo	tempo:mid_tempo
artist:jack_daughtry_orchestra	artist_genre	genre:jazz
song:yusef_lateef_jungle_plum	in_key_root	key:D
song:the_dramatics_you_could_become_the_very_heart_of_me	in_key_root	key:Bb
song:fugees_fu_gee_la_refugee_camp_remix	has_genre	genre:hip_hop
song:galt_macdermot_freakout	performed_by	artist:galt_macdermot
song:dj_krush_only_the_strong_survive_dj_krush	has_genre	genre:hip_hop
song:dead_prez_mind_sex	has_mode	mode:minor
song:cordon_bleu_third_line_part_ii	has_mode	mode:minor
song:gang_starr_step_in_the_arena	in_key_root	key:E
song:david_axelrod_the_fly	in_key_root	key:A
album:bobby_caldwell_cat_in_the_hat	album_artist	artist:bobby_caldwell
song:blackbyrds_the_baby	has_tempo	tempo:mid_tempo
song:henryk_debich_obladi_oblada	appears_on	album:henryk_debich_string_beat
album:dennis_coffey_electric_coffey	album_artist	artist:dennis_coffey
song:main_ingredient_happiness_is_just_around_the_bend	in_key_root	key:F
song:cannonball_adderley_introduction	appears_on	album:cannonball_adderley_soul_zodiac
song:maxayn_moan_to_the_music	suitable_for	set:peak_hour
album:johnny_lytle_the_loop	album_artist	artist:johnny_lytle
song:dick_hyman_kolumbo	has_tempo	tempo:mid_tempo
song:dj_rectangle_a8	suitable_for	set:peak_hour
song:jazzy_jay_i_m_the_king	has_genre	genre:hip_hop
song:bobby_caldwell_open_your_eyes	appears_on	album:bobby_caldwell_cat_in_the_hat
song:gabor_szabo_country_illusion	in_key_root	key:D
song:liquid_liquid_lock_groove_in	appears_on	album:liquid_liquid_sucessive_reflexes
song:oh_no_bouncers	has_tempo	tempo:mid_tempo
song:isaac_hayes_never_gonna_give_you_up	has_mode	mode:major
song:the_impressions_don_t_forget_what_i_told_you	suitable_for	set:build
song:maynard_ferguson_bridge_over_troubled_water	has_genre	genre:jazz
song:esther_phillips_til_my_back_ain_t_got_no_bone	has_tempo	tempo:slow
album:johnny_guitar_watson_ain_t_that_a_bitch	album_artist	artist:johnny_guitar_watson
song:howard_university_jazz_ensemble_a_communion_of_my_soul	has_mode	mode:major
song:grover_washington_jr_ain_t_no_sunshine_man_boy	has_mode	mode:minor
song:jimmy_smith_joy	performed_by	artist:jimmy_smith
artist:the_isley_brothers	artist_genre	genre:soul
album:rasputin_s_stash_devil_made_me_do_it	album_artist	artist:rasputin_s_stash
song:deodato_also_sprach_zarathustra	has_genre	genre:jazz
song:melvin_jackson_funky_doo	appears_on	album:melvin_jackson_funky_skull
song:liquid_liquid_zero_leg	has_genre	genre:rock
song:commodores_gimme_my_mule	appears_on	album:commodores_movin_on
song:wu_tang_clan_can_it_be_all_so_simple	has_mode	mode:major
song:tds_mob_what_s_this_world_coming_to	has_tempo	tempo:mid_tempo
album:gene_ammons_the_black_cat	album_artist	artist:gene_ammons
song:shorty_long_another_hurt_like_this	suitable_for	set:warm_up
song:big_l_size_em_up	has_tempo	tempo:mid_tempo
song:phil_flowers_and_his_united_family_abortion_it_s_too_crowded	has_mode	mode:major
song:the_miracles_what_is_a_heart_good_for	appears_on	album:the_miracles_renaissance
song:locomotiv_gt_eszter_keresese	has_genre	genre:rock
song:bob_james_feel_like_makin_love	suitable_for	set:build
song:brass_construction_love	has_mode	mode:major
song:the_niteliters_respect_to_the_other_man	in_key_root	key:Ab
song:funkadelic_not_just_knee_deep	has_tempo	tempo:uptempo
album:bobby_hutcherson_san_francisco	album_artist	artist:bobby_hutcherson
song:michael_jackson_music_me	has_tempo	tempo:slow
song:norman_whitfield_daddy_rich	has_tempo	tempo:mid_tempo
album:45_king_grooves_for_a_quiet_storm	album_artist	artist:45_king
album:evelyn_smooth_talk	album_artist	artist:evelyn
song:aphrodite_s_child_altamont	has_tempo	tempo:slow
song:marvin_gaye_i_want_you_vocal	has_tempo	tempo:mid_tempo
song:raimonds_pauls_cielava	has_genre	genre:melodiya
song:ike_turner_freedom_sound	appears_on	album:ike_turner_a_black_man_s_soul
song:smokey_robinson_just_my_soul_responding	has_genre	genre:soul
song:peter_green_tribal_dance	performed_by	artist:peter_green
song:sir_fresh_dj_critical_sir_vere	in_key_root	key:F
song:young_holt_unlimited_witchita_lineman	suitable_for	set:build
song:beat_konducta_accordian_for_raj	has_tempo	tempo:mid_tempo
song:johnny_guitar_watson_i_want_to_ta_ta_you_baby	performed_by	artist:johnny_guitar_watson
song:new_york_city_hang_your_head_in_shame	in_key_root	key:G
song:house_of_pain_jump_around	has_tempo	tempo:mid_tempo
song:curtis_mayfield_suffer	in_key_root	key:G
song:hell_razor_time_to_fight	suitable_for	set:peak_hour
song:love_unlimited_say_it_again	has_genre	genre:soul
song:yusef_lateef_african_song	has_tempo	tempo:very_slow
song:act_i_bump_n_from_the_middle	has_tempo	tempo:mid_tempo
song:the_headhunters_mayonnaise	has_genre	genre:jazz
song:45_king_the_900_number	has_genre	genre:hip_hop
song:al_hirt_love_ya_baby	suitable_for	set:build
album:metal_fingers_special_herbs_vol_9	album_artist	artist:metal_fingers
song:roy_ayers_ubiquity_tongue_power	performed_by	artist:roy_ayers_ubiquity
song:billy_paul_let_s_make_a_baby	has_mode	mode:major
song:pharcyde_y	suitable_for	set:build
album:24_carat_black_gone_the_promises_of_yesterday	album_artist	artist:24_carat_black
song:shadez_of_brooklyn_change	has_mode	mode:major
song:lou_donaldson_the_kid	in_key_root	key:C
song:raimonds_pauls_the_detectives	has_genre	genre:melodiya
song:dennis_coffey_toast_and_jam	suitable_for	set:peak_hour
song:rahsaan_roland_kirk_freaks_for_the_festival	appears_on	album:rahsaan_roland_kirk_the_case_of_the_3_sided_dream_in_audio_color
song:the_bar_kays_frame_of_mind	has_mode	mode:minor
song:isley_brothers_showdown	has_mode	mode:major
song:sly_the_family_stone_sing_a_simple_song	in_key_root	key:E
song:pleasure_the_love_of_my_life	has_genre	genre:soul
song:ingram_would_you_be_surprised	in_key_root	key:G
song:aceyalone_mic_check	has_mode	mode:minor
album:phil_flowers_and_his_united_family_alpha_and_omega	album_artist	artist:phil_flowers_and_his_united_family
song:the_bar_kays_waiting_and_hating	in_key_root	key:G
song:herbie_hancock_butterfly	appears_on	album:herbie_hancock_thrust
song:craig_mack_flava_in_ya_ear	has_mode	mode:major
song:stairsteps_tell_me_why	has_genre	genre:soul
song:julie_driscoll_and_brian_auger_tramp	has_mode	mode:major
song:butts_band_white_house	has_tempo	tempo:slow
album:dr_john_right_place_wrong_time	album_artist	artist:dr_john
song:maestro_fresh_wes_fine_tune_da_mic	suitable_for	set:build
song:temptations_little_green_apples	has_genre	genre:soul
song:ramsey_lewis_cry_baby_cry	in_key_root	key:G
song:melodiya_ensemble	suitable_for	set:warm_up
song:michael_jackson_johnny_raven	has_genre	genre:soul
song:o_jays_when_the_world_s_at_peace	suitable_for	set:build
song:the_swordsmen_disgusted_discouraged	suitable_for	set:warm_up
song:undefeated_3_undeafeted	has_tempo	tempo:mid_tempo
song:george_benson_so_this_is_love	in_key_root	key:D
song:quincy_jones_listen_to_the_melody	has_mode	mode:minor
song:prophet_stick_around	in_key_root	key:B
song:betty_wright_life	in_key_root	key:G
song:j_dilla_make_emnv	in_key_root	key:F#
song:isaac_hayes_monolouge_ike_s_rap	appears_on	album:isaac_hayes_to_be_continued
song:archie_bell_the_drells_just_a_little_closer	has_mode	mode:major
album:john_klemmer_blowin_gold	album_artist	artist:john_klemmer
song:tyrone_davis_she_s_lookin_good	suitable_for	set:peak_hour
album:igor_brill_an_orchestra_came	album_artist	artist:igor_brill
song:2pac_changes	in_key_root	key:E
song:lord_finesse_fuck_em	suitable_for	set:warm_up
song:robben_ford_hawk_s_theme	has_genre	genre:jazz
song:brown_sirround_the_set_up	in_key_root	key:F#
song:lonnie_liston_smith_sunburst	performed_by	artist:lonnie_liston_smith
album:blair_nightlife	album_artist	artist:blair
song:j_dilla_two_can_win	suitable_for	set:build
song:the_rimshots_do_what_you_feel_part_2	appears_on	album:the_rimshots_down_to_earth
song:ohio_players_food_stamps_y_all	appears_on	album:ohio_players_climax
album:raimonds_pauls_sister_carrie	album_artist	artist:raimonds_pauls
song:dennis_coffey_tarus	performed_by	artist:dennis_coffey
song:stairsteps_salaam	performed_by	artist:stairsteps
song:kool_the_gang_good_time_tonight	performed_by	artist:kool_the_gang
song:billy_cobham_crosswind	has_tempo	tempo:mid_tempo
song:lonnie_liston_smith_floating_through_space	in_key_root	key:C
song:herbie_hancock_watermelon	in_key_root	key:F
album:war_youngblood	album_artist	artist:war
song:norman_whitfield_car_wash	has_genre	genre:soul
song:crusaders_a_search_for_soul	has_tempo	tempo:slow
album:laboratorium_modern_pentathalon	album_artist	artist:laboratorium
song:rahzel_all_i_know	in_key_root	key:F#
song:crusaders_tomorrow_where_are_you	performed_by	artist:crusaders
song:ramsey_lewis_see_the_beginning_from_the_end	has_tempo	tempo:fast
song:passport_hand_made	suitable_for	set:peak_hour
song:hidden_strength_i_wanna_be_your_main_man	has_tempo	tempo:very_slow
song:cannonball_adderley_aries	suitable_for	set:cool_down
song:shorty_long_night_fo_last_vocal	has_tempo	tempo:uptempo
song:black_heat_zimba_ku	appears_on	album:black_heat_keep_on_runnin
song:stanley_turrentine_introspective	in_key_root	key:Ab
song:patrice_rushen_it_s_just_a_natural_thing	has_tempo	tempo:mid_tempo
song:bobby_caldwell_it_s_over	has_tempo	tempo:slow
song:eddie_harris_lovely_is_today	in_key_root	key:E
song:mcdonald_and_giles_here_i_am	in_key_root	key:Bb
song:the_t_s_u_toronados_back_after_the_news	has_tempo	tempo:uptempo
song:da_head_huntaz_i_wreck_the_mic	in_key_root	key:D
song:average_white_band_how_sweet_can_you_get	has_genre	genre:soul
song:james_brown_stone_to_the_bone	has_genre	genre:soul
song:royce_da_5_9_soldier_s_story	in_key_root	key:Bb
album:les_mccann_eddie_harris_swiss_movement	album_artist	artist:les_mccann_eddie_harris
song:b_t_express_still_good_still_like_it	has_genre	genre:soul
song:roy_ayers_ubiquity_domelo	has_mode	mode:minor
song:etta_james_god_s_song	has_mode	mode:minor
song:the_nite_liters_stinkin_charlie	has_tempo	tempo:mid_tempo
song:igor_brill_an_orchestra_came	has_genre	genre:jazz
song:dilated_peoples_the_main_event	has_mode	mode:minor
song:the_cecil_holmes_soulful_sounds_t_stands_for_trouble	in_key_root	key:D
